Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Athletics and sports," I wish the athletic eligibility requirements were more flexible, as they make it difficult for me to balance sports and academics.",21,1.35,3,1,F,Soudan
Athletics and sports," I'm struggling to get medical attention for my sports-related injury, and the university's resources are not sufficient.",23,3.8,3,1,F,Soudan
Athletics and sports," The sports team culture can be cliquey and exclusive, making it difficult for some members to feel included.",16,2.36,1,1,F,Soudan
Athletics and sports, I've witnessed gender inequality within the sports program firsthand and feel it's time for change.,16,0.06,5,1,M,Soudan
Athletics and sports, The university needs to do more to ensure Title IX compliance and provide equal opportunities for all sports programs.,27,3.41,1,1,M,Soudan
Athletics and sports, The athletic facilities are not well-maintained and are often dirty and overcrowded.,23,0.98,5,1,F,Soudan
Athletics and sports, The athletic eligibility requirements are too strict and limit the number of students who can participate in sports programs.,25,2.13,1,1,F,Soudan
Athletics and sports, I'm frustrated with the lack of resources available to athletes who suffer from injuries or other medical concerns.,17,1.57,3,1,F,Soudan
Athletics and sports, The sports team culture is not inclusive and often feels like a popularity contest.,18,2.03,3,1,F,Soudan
Athletics and sports," I've noticed a clear gender inequality within the sports program, and it's time for the university to take action.",25,0.27,4,1,F,Soudan
Athletics and sports," The university needs to ensure Title IX compliance and provide equal opportunities for all athletes, regardless of gender.",17,2.75,1,1,F,Soudan
Athletics and sports, The limited access to athletic facilities makes it challenging to train effectively and reach my goals.,18,1.03,1,1,M,Soudan
Athletics and sports, The athletic eligibility requirements don't take into account the unique circumstances of each athlete and can be unfair.,18,2.41,1,1,F,Soudan
Athletics and sports," The university needs to invest in better medical resources for athletes, as the current options are insufficient.",25,1.61,4,1,F,Soudan
Athletics and sports, The sports team culture needs to be more inclusive and welcoming to all members.,24,2.6,2,1,F,Soudan
Athletics and sports, I've experienced gender inequality within the sports program and feel that it's a significant issue that needs to be addressed.,26,3.75,3,1,M,Soudan
Athletics and sports, The university needs to take steps to ensure Title IX compliance and create a level playing field for all athletes.,18,3.35,4,1,F,Soudan
Athletics and sports,I feel frustrated with the limited access to the athletic facilities on campus. It's hard to stay active and healthy when you can't even use the gym when you want to.,22,2.0,2,1,F,Soudan
Athletics and sports,The athletic eligibility requirements for sports teams are so strict. It's unfair that some students can't participate just because they don't meet certain criteria.,24,1.75,3,1,F,Soudan
Athletics and sports,I'm concerned about the injuries that happen during sports games and practices. The university needs to prioritize the health and safety of its athletes.,21,1.62,5,1,M,Soudan
Athletics and sports,I've noticed that the sports team culture on campus can be exclusive and elitist. It makes it hard for newcomers to feel welcome.,18,1.16,2,1,F,Soudan
