Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Student Affairs," ""I'm tired of feeling like I have to beg for my own certificates. The student affairs office needs to start prioritizing student needs over bureaucratic red tape.""",22,2.86,3,1,M,Mexico
Student Affairs," ""I submitted my birth certificate application weeks ago, but the student affairs office still",26,2.81,4,1,M,Mexico
Student Affairs,an provide some sample reports that may reflect the experiences of university students with regards to student affairs and managing various certificates. Please note that these are hypothetical reports and may not reflect the experiences of any specific individual or group.,24,2.05,5,1,F,Mexico
Student Affairs,"""I've been trying to get my military certificate verified by the university for weeks now, but every time I go to the office they tell me there's a problem with the paperwork. It's frustrating because I need this certificate to apply for certain internships.""",18,3.73,4,1,F,Mexico
Student Affairs,"""The process for obtaining my birth certificate through the university has been a nightmare. The website was difficult to navigate and the customer service was unhelpful. It's ridiculous that something so important has to be so difficult to obtain.""",21,1.65,5,1,F,Mexico
Student Affairs,"""I received my training certificate from a course I took over the summer, but the university won't accept it because it's from a non-accredited institution. This is frustrating because the course was relevant to my major and I learned a lot from it.""",25,3.05,1,1,F,Mexico
Student Affairs,"""I've had multiple issues with the student affairs office regarding scheduling conflicts and paperwork errors. It seems like they're understaffed and overwhelmed, but it's frustrating when it affects my ability to graduate on time.""",27,2.63,1,1,M,Mexico
Student Affairs,"""The process for ordering official transcripts from the university is unnecessarily complicated. It should be as simple as submitting a request online, but instead I have to navigate a confusing system and wait weeks for it to be processed.""",22,2.07,3,1,M,Mexico
Student Affairs,"""I've been trying to update my personal information with the university, but the website keeps glitching and I can't get through to customer service. It's frustrating because this information is important for communication and academic purposes.""",23,1.53,2,1,M,Mexico
Student Affairs,"""I recently applied for a scholarship through the university, but the application process was confusing and the instructions were unclear. It's frustrating to spend so much time on an application only to find out that I didn't meet the criteria.""",21,0.74,1,1,F,Mexico
Student Affairs,"""The university should provide more resources for students who are applying for internships and jobs. It's difficult to navigate the job market on your own, and career services is often understaffed and overworked.""",25,2.6,3,1,F,Mexico
Student Affairs,"""I've had issues with financial aid and scholarships, and it seems like the university is always changing their policies and requirements. It's frustrating because I rely on this support to continue my education.""",18,2.71,5,1,F,Mexico
Student Affairs," ""The university should prioritize mental health resources for students. It's a stressful time in our lives and it's important to have access to counseling and support services when we need it.""",27,1.97,3,1,F,Mexico
Housing and Transportation,"1. ""The cost of rent in the area around the university is just too high, and it's really hard to find affordable housing that's also close to campus.""",20,2.98,1,1,F,Mexico
