Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Housing and Transportation,"15. ""I've had to share a room with a stranger just to be able to afford rent.""",16,3.92,2,1,F,Yemen
Housing and Transportation,"16. ""I've had to borrow money from my parents just to be able to pay for rent and transportation costs.""",23,0.44,2,1,F,Yemen
Housing and Transportation,"17. ""The nearest bus stop is a 15-minute walk away from my apartment, which is not ideal during the winter months.""",19,1.68,5,1,F,Yemen
Housing and Transportation,"18. ""The university should provide shuttle buses to off-campus students, especially during peak class times.""",22,1.08,3,1,M,Yemen
Housing and Transportation,"19. ""I wish the university would provide more affordable parking options for students who have to drive to class.""",24,1.86,3,1,F,Yemen
Housing and Transportation,"20. ""The traffic near the university is so bad during peak hours, it's impossible to get anywhere on time.""",26,0.93,1,1,M,Yemen
Housing and Transportation,"21. ""The rent prices near the university are so high, it's impossible to live without roommates.""",20,2.9,5,1,F,Yemen
Housing and Transportation,"22. ""I've had to move to a different city just to be able to afford housing and transportation costs.""",18,0.26,2,1,F,Yemen
Housing and Transportation,"23. ""The bus stops near my apartment are not well-lit, making it feel unsafe to wait for the bus at night.""",23,2.76,2,1,F,Yemen
Housing and Transportation,"24. ""I wish there were more bike lanes near the university, it would make it easier to commute by bike.""",21,3.48,5,1,F,Yemen
Housing and Transportation,"25. ""The public transportation in my city is not accessible for students with disabilities.""",23,3.15,4,1,F,Yemen
Housing and Transportation,"26. ""I've had to take a part-time job just to be able to afford rent and transportation costs.""",16,1.32,3,1,F,Yemen
Housing and Transportation,"27. ""The university should provide more affordable on-campus housing options for students who can't afford to live off-campus.""",16,0.87,1,1,M,Yemen
Housing and Transportation,"28. ""I wish the university would provide more information about affordable housing options near the university.""",21,0.61,5,1,F,Yemen
Housing and Transportation,"29. ""The housing options near the university are so limited, it's impossible to find a place to live that's not infested with pests.""",24,3.36,3,1,F,Yemen
Housing and Transportation,"30. ""The university should provide more information about transportation options for students who live off-campus.""",17,3.01,4,1,M,Yemen
Housing and Transportation,"31. ""The parking lots near the university are always full, making it impossible to find a spot.""",23,0.63,4,1,F,Yemen
Housing and Transportation,"1. ""I'm really struggling to find affordable housing close to campus. Everything seems to be way out of my budget, and it's frustrating to feel like I have to compromise on the quality of my living situation just to be able to afford rent.""",16,0.41,4,1,F,Yemen
Housing and Transportation,"2. ""The public transportation options in this area are terrible. Buses are always late or overcrowded, and there are never enough taxis or ride-sharing services available. It's making it really difficult for me to get to class on time and stay on top of my schedule.""",26,0.15,4,1,M,Yemen
Housing and Transportation,"3. ""I feel like the university should be doing more to provide affordable housing options for students. It's not fair that we have to choose between living in subpar conditions or going into debt just to afford rent.""",23,1.54,5,1,F,Yemen
Housing and Transportation,"4. ""I don't have a car, and the only transportation option near my apartment is the bus. But the bus route doesn't go directly to campus, so I have to transfer multiple times just to get to class. It's a huge waste of time and energy.""",24,1.61,2,1,M,Yemen
Housing and Transportation,"5. ""The housing market in this area is so competitive that I feel like I'm constantly battling with other students to find a decent place to live. It's stressful and exhausting, and I wish there were more options available to us.""",25,1.3,1,1,M,Yemen
Housing and Transportation,"6. ""The cost of rent in this area is astronomical. I'm already working a part-time job just to make ends meet, and it's frustrating to feel like I'm barely scraping by even though I'm a full-time student.""",23,3.79,2,1,F,Yemen
Housing and Transportation,"7. ""I'm really disappointed with the state of the public transportation system here. It's unreliable and inconvenient, and it's making it really difficult for me to stay on top of my studies and extracurricular activities.""",17,0.59,1,1,M,Yemen
Housing and Transportation,"8. ""I feel like the university should be doing more to incentivize landlords to offer affordable housing to students. It's not fair that we have to pay so much just to have a place to live while we're pursuing our degrees.""",23,1.29,1,1,F,Yemen
Housing and Transportation,"9. ""The lack of affordable housing options in this area is really limiting my choices. I feel like I have to settle for a place that's far away from campus and not very nice, just because it's the only thing I can afford.""",27,3.57,2,1,M,Yemen
Housing and Transportation,"10. ""I have to rely on public transportation to get around, but the bus schedule is so sporadic that I'm constantly running late for classes and appointments. It's really frustrating and stressful.""",20,1.28,2,1,F,Yemen
Activities and Travelling,"1. ""I've been looking for ways to explore the area around campus and get to know the city better, but it's hard to find affordable and convenient transportation options. I wish there were more affordable shuttle services or student discounts for public transit.""",16,2.06,3,1,M,Yemen
Activities and Travelling,"2. ""I'm really interested in trying out some new outdoor activities, but I don't know where to start. It would be great if the university offered more organized trips and activities, like hiking or kayaking, so that I could explore the area with other students.""",23,2.56,3,1,F,Yemen
Activities and Travelling,"3. ""I've been feeling really burned out lately, and I think it's because I haven't had a chance to take a break and do something fun outside of class. I wish there were more social events and activities on campus that were geared towards stress relief and self-care.""",18,3.11,4,1,M,Yemen
Activities and Travelling,"4. ""I'm from out of town, and I'm having a hard time finding my way around the city. It would be great if the university offered more orientation sessions or tours for new students, so that we could feel more confident and comfortable navigating the area.""",19,2.45,2,1,F,Yemen
Activities and Travelling,"5. ""I'm interested in studying abroad, but I'm not sure where to start. It would be great if the university had more resources and support for students who are considering international programs or trips.""",23,3.4,1,1,M,Yemen
Activities and Travelling,"6. ""I'm a transfer student, and I feel like I'm missing out on a lot of the traditional college experiences like road trips and spring break. It would be great if there were more organized trips and activities for transfer students, so that we could feel more connected to the university community.""",16,2.83,3,1,F,Yemen
Activities and Travelling,"7. ""I love exploring new places and trying new things, but it's hard to find the time and money to do so while I'm in school. It would be great if there were more affordable and accessible travel options for students, like student discounts on airfare or organized weekend trips.""",17,2.31,1,1,M,Yemen
Activities and Travelling,"8. ""I'm interested in getting involved in outdoor activities and adventure sports, but I don't have a lot of experience. It would be great if the university offered more beginner-friendly courses and workshops, so that I could build my skills and confidence in a supportive environment.""",16,1.86,4,1,M,Yemen
Activities and Travelling,"9. ""I'm interested in exploring the arts and cultural scene in the city, but I'm not sure where to start. It would be great if the university offered more organized trips and events to museums, galleries, and theaters, so that I could discover new things and learn from other students.""",19,0.94,5,1,F,Yemen
Activities and Travelling,"10. ""I'm passionate about sustainability and the environment, and I would love to get involved in eco-tourism or sustainable travel. It would be great if the university had more resources and support for students who are interested in these topics, so that we could learn about sustainable travel options and make more informed choices.""",25,1.95,4,1,F,Yemen
Activities and Travelling,"1. ""I went on a trip with the university's travel club, but the accommodations were terrible. The hotel was dirty and uncomfortable, and it really detracted from the overall experience.""",22,3.21,5,1,F,Yemen
Activities and Travelling,"2. ""I was really excited to go on a weekend trip with my friends, but the transportation ended up being a nightmare. Our bus broke down on the side of the road, and we ended up being stranded for hours.""",20,3.09,4,1,M,Yemen
