Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Academic Support and Resources,"I'm not very good at managing my time, and I often find myself struggling to balance my academic work with my other commitments.",26,1.88,1,1,M,Egypt
Academic Support and Resources,"Balancing work and academic responsibilities has been a real struggle for me, and it's been affecting my grades.",16,2.7,1,1,F,Egypt
Academic Support and Resources,"I often have conflicts with my other commitments, and it's been difficult to find time to focus on my schoolwork.",25,0.96,1,1,F,Egypt
Academic Support and Resources,"I've been feeling really tired and burnt out lately, and it's been hard to stay motivated to study.",17,0.62,1,1,M,Egypt
Academic Support and Resources,"The stress and anxiety of college life has been getting to me, and I'm having trouble focusing on my coursework.",21,3.52,1,1,M,Egypt
Academic Support and Resources,"My mental health has been a major factor in my academic performance, and I need to prioritize self-care in order to succeed.",27,2.68,1,1,F,Soudan
Academic Support and Resources,"I'm feeling really overwhelmed by the academic workload, and I'm struggling to keep up with everything.",16,1.32,1,1,F,Soudan
Academic Support and Resources,"The course material is really difficult, and I often feel like I don't fully understand it.",18,3.55,1,1,F,Soudan
Academic Support and Resources,"I'm not very good at managing my time, and it's been affecting my grades.",24,3.09,1,1,M,Soudan
Academic Support and Resources,"Balancing work and academic responsibilities has been really challenging for me, and it's been causing me a lot of stress.",23,0.29,1,1,M,Soudan
Academic Support and Resources,"I often have conflicts with my other commitments, and it's been tough to find time to focus on my schoolwork.",22,0.9,1,1,F,Soudan
Academic Support and Resources,"I've been feeling really exhausted lately, and it's been hard to stay motivated to study.",18,0.46,1,1,M,Soudan
Academic Support and Resources,"The stress and anxiety of college life has been really overwhelming, and it's been affecting my mental health.",26,1.73,1,1,F,Soudan
Academic Support and Resources,"I'm dealing with some mental health issues that have been affecting my academic performance, and I need to seek help.",22,3.97,1,1,M,Soudan
Academic Support and Resources,"The academic workload has been really intense lately, and it's been a struggle to keep up with everything.",27,0.2,1,1,F,Soudan
Academic Support and Resources,"The course material is really challenging, and I often feel like I'm not smart enough to understand it.",16,0.32,1,1,M,Soudan
Academic Support and Resources,I need to work on my time management skills because I'm constantly feeling behind in my coursework.,16,0.97,1,1,M,Soudan
Academic Support and Resources,"Balancing work and academic responsibilities has been a real struggle, and I'm not sure how to make it work.",27,1.9,1,1,M,Soudan
Academic Support and Resources,"I have a lot of other commitments that often conflict with my schoolwork, and it's been really hard to juggle everything.",16,0.37,1,1,F,Soudan
Academic Support and Resources,"I've been feeling really run down lately, and it's been tough to stay focused on my studies.",21,0.17,1,1,M,Soudan
Academic Support and Resources,The stress and anxiety of college life has been really overwhelming,23,1.54,1,1,F,Soudan
Academic Support and Resources,"The academic workload is becoming overwhelming, especially with the difficulty of course material. It's difficult to manage my time well and balance my work responsibilities with my academic ones. I have a hard time sleeping due to the stress and anxiety this is causing me, and it's starting to affect my mental health.",21,1.02,1,1,F,Soudan
